KOD;ZKRATKA;TYP_PRAC;NAZEV;NAZEV_ZKRACENY;NADRIZ_PRAC;PLATNOST_OD;PLATNOST_DO;ICO;TELEFON;FAX;EMAIL;TYP_ADRESY;OKRES;OBEC;MESTSKY_OBVOD ;CAST_OBCE;CISLO_DOMOVNI;NAZEV_ULICE;CISLO_ORIENTACNI;PSC;STAT;KOD_PRO_VS
806;OPAV;2;Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Opava;Opava;800;01.01.1993;;;553698111;;kp.opava@cuzk.gov.cz;3;Opava;Opava;;Město;194;Praskova;11;74601;;36
807;OSTR;2;Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Ostrava;Ostrava;800;01.01.1993;;;596944111;;kp.ostrava@cuzk.gov.cz;3;Ostrava-město;Ostrava;;Moravská Ostrava;3056;Vítkovická;2;70200;;37
808;PRER;2;Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Přerov;Přerov;860;01.01.1993;;;581706911;;kp.prerov@cuzk.gov.cz;3;Přerov;Přerov;;Přerov I-Město;2846;Husova;2;75163;;18
809;SUMP;2;Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Šumperk;Šumperk;860;01.01.1993;;;583312111;;kp.sumperk@cuzk.gov.cz;3;Šumperk;Šumperk;;Šumperk;479;Americká;2;78791;;19
810;VSET;2;Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Vsetín;Vsetín;770;01.01.1993;;;571428070;;kp.vsetin@cuzk.gov.cz;3;Vsetín;Vsetín;;Vsetín;810;Smetanova;;75511;;57
811;JESE;2;Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Jeseník;Jeseník;860;01.01.1993;;;584458175;;kp.jesenik@cuzk.gov.cz;3;Jeseník;Jeseník;;Jeseník;10;Husova;1;79001;;15
831;KRNO;2;Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Krnov;Krnov;800;01.01.1993;;;554684971;;kp.krnov@cuzk.gov.cz;3;Bruntál;Krnov;;Pod Bezručovým vrchem;37;U Požárníků;2;79401;;34
832;TRIN;2;Katastrální úřad pro Moravskoslezský kraj, Katastrální pracoviště Třinec;Třinec;800;01.01.1993;;;558340350, 558340351, 558340353;;kp.trinec@cuzk.gov.cz;3;Frýdek-Místek;Třinec;;Oldřichovice;869; ;;73961;;38
835;HRAN;2;Katastrální úřad pro Olomoucký kraj, Katastrální pracoviště Hranice;Hranice;860;01.01.1993;;;581658015;;kp.hranice@cuzk.gov.cz;3;Přerov;Hranice;;Hranice I-Město;183;Čechova;;75301;;14
836;VAME;2;Katastrální úřad pro Zlínský kraj, Katastrální pracoviště Valašské Meziříčí;Valašské Meziříčí;770;01.01.1993;;;571757950;;kp.valmezirici@cuzk.gov.cz;3;Vsetín;Valašské Meziříčí;;Valašské Meziříčí;1351;40.pluku;;75701;;56
860;KÚ-OLOM;1;Katastrální úřad pro Olomoucký kraj;Olomoucký kraj;10;01.01.2004;;71185186;585552111;;ku.proolomokraj@cuzk.gov.cz;1;Olomouc;Olomouc;;Hodolany;110;Jeremenkova;15;77211;;
899;ZKI OP;4;Zeměměřický a katastrální inspektorát v Opavě;ZKI v Opavě;10;01.01.1993;;849863;553698180;;zki.opava@cuzk.gov.cz;1;Opava;Opava;;Město;194;Praskova;11;74601;;
